Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Європейська Солідарність,221,1211,2019-06-26,2,"ТОВ ""Телеканал ""Прямий""","м. Київ, вул. Мечнікова, буд. 2А",04948693,"+;1211; за розм.мат.передв.агіт. на ТК на період 26.06-02.07.19 зг.рах.№403 від 25.06.19,дод.№1 до дог.№68-П/BSA2 від 25.06.19 в т. ч. ПДВ 20% 121028.57 грн.","726171,43",юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1220,2019-07-09,459,"Дочірнє підприємство ""Галицький кореспондент"" ТОВ ""Медіа альянс""","м. Івано-Франківськ, вул. О. Сорохтея, буд. 37, кв. 84",35276475,"+;1220; за публ.МПА в газеті Галиц.коресп.зг.рах.№СФ-0000064 від 04.07.19, дод.№01 від 04.07.19 до дог.№28/07 від 04.07.19 Без ПДВ",4500,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1211,2019-07-09,467,"Івано-Франківське обласне телебачення ""Галичина""","м. Івано-Франківськ, вул. Михайла Грушевського, буд. 21, кімн. 701",13641427,+;1211; за надання ефірн.часу  зг.рах.№275 від 08.07.19 до дог.№05-07/2019 від 05.07.19   в т. ч. ПДВ 20% 3416.67 грн.,20500,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1220,2019-07-10,468,"Редакція Бобровицької районної газети ""Наше життя""","Чернігівська обл., Бобровицький р-н, м. Бобровиця, вул. Лупицька, буд. 6",02476184,+;1220; за публ.МПА в газеті зг.рах.№209 від 10.07.19 дог.№7 від 08.07.19 Без ПДВ,2700,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1400,2019-07-10,472,"ПП ""Закарпатський інформаційний центр""","Закарпатська обл., м. Ужгород, вул. Джамбула, буд. 47А, кв. 31",36943553,"+;1400; за публ.МПА в інтрнет-ресурсі Ужінф. зг. рах.№01/07 від 08.07.19, дод.№1 від 08.07.19 до дог.№1 від 08.07.19 в т. ч. Без ПДВ",3900,юридична особа,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Європейська Солідарність,221,1220,2019-07-10,469,"ТОВ ""Бізнес лідер""","м. Хмельницький, вул. Гагаріна, буд. 5, оф. 228",38854680,"+;1220; за публ.МПА в газеті зг.рах.№75 від 05.07.19, дод.№2 від 05.07.19 до дог.№15 від 01.07.19 Без ПДВ",6000,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1110,2019-07-10,470,"ТОВ ""Друкарня Отто Ганс""","м. Івано-Франківськ, вул. Короля Данила, буд. 16А",35276632,"+;1110; за виготовл.друков.мат.передв.агіт. зг.рах.№1 від 05.07.19, дод.№1 від 05.07.19 до дог.№6 від 05.07.19  в т. ч. ПДВ 20% 2045.00 грн.",12270,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Європейська Солідарність,221,1220,2019-07-10,471,"ТОВ ""Редакція газети ""Новини Закарпаття""","Закарпатська обл., м. Ужгород, вул. Руська, буд. 13, Поверх 2",20443975,"+;1220; за публ.МПА в газеті зг.рах.№290 від 08.07.19, дод.№1 від 08.07.19 до дог.№1 від 08.07.19 в т. ч. ПДВ 20% 1529.60 грн.","9177,6",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1211,2019-07-10,474,"ТОВ ""ТV-4""","м. Тернопіль, вул. Гетьмана Сагайдачного, буд. 2, кв. 7",14029496,"+;1211; за надання ефірн.часу зг.рах.№ТВ-0000252 від 09.07.19, дод.№4 від 09.07.19 до дог.№01/2706 від 27.06.19 в т. ч. ПДВ 20% 3240.00 грн.",19440,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1220,2019-07-10,466,"ТОВ ""Видавничий дім ""Високий замок""","Львівська обл., м. Львів, Франківський р-н, вул. Героїв Упа, буд. 65",13807781,"+;1220; за публ.МПА в газеті зг.рах.№ВЗ-0000676 від 09.07.19, дод.№4 від 09.07.19 до дог.№01 від 01.07.19 в т. ч. ПДВ 20% 3900.00 грн.",23400,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1211,2019-07-10,473,"ТОВ ""Слово Волині""","м. Луцьк, вул. Єршова, буд. 2",38131299,"+;1211; за ефірн.час для трансл.МПА зг.рах.№151 від 09.07.19,дод.№7 від 27.06.19 до дог.№3-01 від 27.06.19 в т. ч. ПДВ 20% 7560.00 грн.",45360,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1220,2019-07-10,465,"ТОВ ""Видавничий дім ""Високий замок""","Львівська обл., м. Львів, Франківський р-н, вул. Героїв Упа, буд. 65",13807781,"+;1220; за публ.МПА в газеті зг.рах.№ВЗ-0000675 від 09.07.19, дод.№3 від 09.07.19 до дог.№01 від 01.07.19 в т. ч. ПДВ 20% 3900.00 грн.",23400,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1211,2019-07-10,477,"ТОВ ""Новий канал""","м. Київ, вул. Тургенєвська, буд. 25",23530545,"+;1211; за еф.час на ТБ зг.рах.№СФ-00000195 від 05.07.19, дод.3 від 04.07.19 до дог.№3-НК-ВРУ2019 від 25.06.19  в т. ч. ПДВ 20% 55000.00 грн.",330000,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1110,2019-07-10,451,"ТОВ ""Омега принт""","м. Дніпро, вул. Червонозаводська, буд. 68, оф. 305",39358818,"+;1110; за виготовл.друков.мат.передв.агіт. зг.рах.№СФ-0000909 від 04.07.19, дод.№2 від 04.07.19 до дог.№25/06 від 25.06.19  в т. ч. ПДВ 20% 56979.73 грн.","341878,36",юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Європейська Солідарність,221,1110,2019-07-10,463,"ТОВ ""ГК ""Статус інвест інжиніринг""","м. Київ, Подільський р-н, вул. Волоська, буд. 21, оф. 2",39202920,"+;1110; за виготовл.друков.мат.передв.агіт. зг.рах.№09-07/1 від 09.07.19, дод.№3 до дог.№26/06-1 від 26.06.19  в т. ч. ПДВ 20% 62600.00 грн.",375600,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Європейська Солідарність,221,1211,2019-07-10,475,"ТОВ ""Телеканал ""Прямий""","м. Київ, вул. Мечнікова, буд. 2А",04948693,"+;1211; за розм.мат.передв.агіт. на ТК  зг.рах.№407 від 02.07.19,дод.№3 до дог.№68-П/BSA2 від 25.06.19 в т. ч. ПДВ 20% 83333.33 грн.",500000,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1110,2019-07-10,453,"ТОВ ""Ант віжн прінт""","м. Київ, вул. Тростянецька, буд. 49, кв. 118",38336657,+;1110; за виготовл.друков.мат.передв.агіт. зг.рах.№517 від 04.07.19 до дог.№01/07-4 від 03.07.19  в т. ч. ПДВ 20% 88306.67 грн.,529840,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Європейська Солідарність,221,1211,2019-07-10,476,"ТОВ ""Телеканал ""СТБ""","м. Київ, вул. Івана Шевцова, буд. 1",20044726,"+;1211; за ефірн.час на ТБ зг.рах.№443 від 04.07.19,дод.№3 від 04.07.19 до дог.№5-СТБ-ВРУ2019 від 25.06.19 в т. ч. ПДВ 20% 108333.33 грн.",650000,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1110,2019-07-10,452,"ТОВ ""Торговий дім ""Гранд афіш""","М. КИЇВ, ПЕЧЕРСЬКИЙ р-н, вул. КУТУЗОВА, буд. 8, КВ. (оф.) 101",36678347,"+;1110; за виготовл.друков.мат.передв.агіт. зг.рах.№4/07-030 від 04.07.19, дод.№8 від 04.07.19 до дог.№62/19-ТД від 25.06.19  в т. ч. ПДВ 20% 112105.83 грн.",672635,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Європейська Солідарність,221,1211,2019-07-10,478,"ТОВ ""Міжнародна комерційна телерадіокомпанія"" (ICTV)","м. Київ, вул. Паньківська, буд. 11",14323764,"+;1211; за еф.час на ТБ  зг.рах.№230 від 05.07. 19, дод.3 від 04.07.19 до дог.№5-ICTV-ВРУ 2019 від 25.06.19 в т. ч. ПДВ 20% 116666.67 грн",700000,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1211,2019-07-10,480,"ТОВ ""Телерадіокомпанія ""Студія 1+1""","м. Київ, вул. Кирилівська, буд. 23",23729809,+;1211; за розповс.політ.агіт. на ТБ на період за липень 2019 зг.рах.№556 від 26.06.19 до дог.№ВР-10 від 25.06.19 в т. ч. ПДВ 20% 216666.67 грн.,1300000,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1211,2019-07-10,479,"ТОВ ""Телерадіокомпанія ""Україна""","Донецька обл., м. Маріуполь, вул. Харлампіївська, буд. 17/25",05744121,"+;1211; за розм. в еф.ТК""Україна""матер.передвиб.агіт.зг.рах№567 від 02.07.19, Угода №ТРК-085027/ 2019 від 26.06.19  в т. ч. ПДВ 20% 250000.00 грн.",1500000,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1220,2019-07-10,481,"ТОВ ""Видавничий дім ""Високий замок""","Львівська обл., м. Львів, Франківський р-н, вул. Героїв Упа, буд. 65",13807781,"+;1220; за публ.МПА в газеті зг.рах.№ВЗ-0000628 від 10.07.19, дод.№1 від 10.07.19 до дог.№01 від 01.07.19 в т. ч. ПДВ 20% 3900.00 грн.",23400,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1220,2019-07-10,482,"ТОВ ""Видавничий дім ""Високий замок""","Львівська обл., м. Львів, Франківський р-н, вул. Героїв Упа, буд. 65",13807781,"+;1220; за публ.МПА в газеті зг.рах.№ВЗ-0000629 від 10.07.19, дод.№2 від 10.07.19 до дог.№01 від 01.07.19 в т. ч. ПДВ 20% 3900.00 грн.",23400,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1220,2019-07-10,483,"ТОВ ""Редакція газети ""Житомирщина""","Житомирська обл., м. Житомир, Корольовський р-н, Майдан Ім. С. П. Корольова, буд. 12",02472499,"+;1220; за публ.МПА в газеті зг.рах.№СФ-000487 від 10.07.19, дод.№1 від 10.07.19 до дог.№7 від 10.07.19 в т. ч. ПДВ 20% 2755.00 грн.",16530,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1220,2019-07-10,484,"ПП ""Полтавський вісник""","Полтавська обл., м. Полтава, Шевченківський р-н, вул. Європейська, буд. 8",21045231,+;1220; розм.МПА в газеті  зг.рах.№СФ-0000229 від 03.07.19 до дог.№П-05 від 03.07.19 в т. ч. ПДВ 20% 642.40 грн.,"3854,4",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1211,2019-07-10,485,"ТОВ ""Медіа-проспект""","м. Житомир, Корольовський р-н, вул. Велика Бердичівська, буд. 72",38500053,"+;1211; за ефірн.час на ТБ зг.рах.№140 від 10.07.19, дод.№2 від 10.07.19 до дог.№11/2 від 04.07.19 в т. ч. ПДВ 20% 5000.00 грн.",30000,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1120,2019-07-10,486,"ТОВ ""Медіа-проспект""","м. Житомир, Корольовський р-н, вул. Велика Бердичівська, буд. 72",38500053,"+;1120; за виготовлення відеозап. зг.рах.№142 від 10.07.19, дод.№2 від 10.07.19 до дог.№11/1 від 04.07.19 в т. ч. ПДВ 20% 366.67 грн.",2200,юридична особа,виготовлення відеозаписів
Європейська Солідарність,221,1211,2019-07-10,487,"ТОВ ""Медіа-проспект""","м. Житомир, Корольовський р-н, вул. Велика Бердичівська, буд. 72",38500053,"+;1211; за ефірн.час на ТБ зг.рах.№141 від 10.07.19, дод.№3 від 10.07.19 до дог.№11/2 від 04.07.19 в т. ч. ПДВ 20% 633.33 грн.",3800,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1340,2019-07-11,489,ВІДДІЛ КУЛЬТУРИ ЗАСТАВНІВСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"Чернівецька обл., Заставнівський р-н, м. Заставна, вул. Незалежності, буд. 94",02231590,+;1340; за оренду приміщ.05.07.19 зг.рах.№01/07 від 05.07.19 до дог.№1 від 05.07.19 Без ПДВ,3000,юридична особа,оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями
Європейська Солідарність,221,1340,2019-07-11,488,Заставнівська міська рада,"Чернівецька обл., Заставнівський р-н, м. Заставна, вул. В. Чорновола, буд. 1",36752386,+;1340; за оренду приміщ.рай.будинку дит-юнац.творч .зг.рах.№01/07 від 02.07.19 до дог.№2 від 02.07.19 Без ПДВ,"153,05",юридична особа,оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями
Європейська Солідарність,221,1400,2019-07-11,492,"ТОВ ""Рекламна агенція ""Житомир інфо""","м. Житомир, вул. Леха Качинського, буд. 1, оф. 74",33732896,"+;1400; за текст.публ.передвиб.агіт. на сайті зг. рах.№300 від 10.07.19, дод.№1 від 10.07.19 до дог.№67 від 10.07.19 Без ПДВ",9300,юридична особа,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Європейська Солідарність,221,1400,2019-07-11,493,"ТОВ ""Медіа-проспект""","м. Житомир, Корольовський р-н, вул. Велика Бердичівська, буд. 72",38500053,"+;1400; за розм.МПА на сайті зг.рах.№146 від 10.07.19, дод.№1 від 10.07.19 до дог.№11/3 від 10.07.19 в т. ч. ПДВ 20% 833.33 грн.",5000,юридична особа,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Європейська Солідарність,221,1212,2019-07-11,490,"ПП ""Телерадіоорганізація ""УХ-радіо""","Тернопільська обл., м. Тернопіль, вул. Руська, буд. 52",31994907,"+;1212; за розм.агіт.матер. на радіо  зг.рах.№СФ-0000073 від 09.07.19,дод.№2 від 09.07.19 до дог.№27-01 від 27.06.19   в т. ч. ПДВ 20% 1358.00 грн.",8148,юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1400,2019-07-11,491,Трокоз Оксана Анатоліївна,"Житомирська обл., м. Житомир, вул. КОСМОНАВТІВ, буд. 56, кв. 3",,"+;1400; за висвітл.зустр.канд.з виборц.на сайті Перш.Житом.інф.портал зг. рах.№10/07/19 від 10.07.19, дод.№1 від 10.07.19 до дог.№05/07 від 05.07.19 Без ПДВ",1700,ФОП,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Європейська Солідарність,221,1220,2019-07-11,494,"ТОВ ""РЕДАКЦІЯ КОБЕЛЯЦЬКОЇ РАЙОННОЇ ГАЗЕТИ ""КОЛОС""","Полтавська обл., Кобеляцький р-н, м. Кобеляки, вул. Шевченка, буд. 40",02474587,"+;1220; за публ.МПА в газеті зг.рах.№238 від 02.07.19, дод.№1 від 02.07.19 до дог.№П-06 від 02.07.19 Без ПДВ",3120,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1140,2019-07-11,390,Сілаєв Дмитро Олександрович,"м. Київ, МІНСЬКИЙ просп., буд. 8А, кв. 110",,"+;1140; за виготовл.агітац.продукц. в зг.рах.№С-00000008 від 02.07.19, дод.№1 від 26.06.19 до дог.№26-06/3 від 26.06.19 Без ПДВ",205856,ФОП,виготовлення інших матеріалів передвиборної агітації
Європейська Солідарність,221,1220,2019-07-11,498,"ПП ""Фірма ""Інститут політики""","м. Рівне, вул. Степана Бандери, буд. 1Б",32940357,"+;1220; розм.МПА в газеті Рівне вечірнє зг.рах.№141 від 09.07.19, дод.№022 від 09.07.19 до дог.№01-17-Г від 27.06.19 в т. ч. ПДВ 20% 750.00 грн.",4500,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1220,2019-07-11,501,"Редакція газети ""Галичина""","м. Івано-Франківськ, вул. Січових Стрільців, буд. 25",13644704,"+;1220; публ.МПА в газеті  зг.рах.№512 від 05.07.19, дод.№1 від 08.07.19 до дог.№9 від 08.07.19 в т. ч. ПДВ 20% 840.00 грн.",5040,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1220,2019-07-11,500,"ТОВ ""РЕДАКЦІЯ ГАЗЕТИ ""ГАЛИЦЬКЕ СЛОВО""","Івано-Франківська обл., Галицький р-н, м. Галич, вул. Євгена Коновальця, буд. 5",25597973,"+;1220; розм.МПА в газеті Рівне експрес зг.рах.№71 від 08.07.19, дод.№1 від 08.07.19 до дог.№6 від 08.07.19 Без ПДВ",2100,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1212,2019-07-11,502,"ТОВ ""Радіо ""Трек""","Рівненська обл., м. Рівне, вул. Кавказька, буд. 2, 6-Й Поверх",23302560,"+;1212; за розм.агіт.м атер. на радіо  зг.рах .№3714 від 11.07.19, дод.№3 від 11.07.19 до дог.№02-17-Р від 27.06.19   Без ПДВ",7500,юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1220,2019-07-11,503,Тітов Віктор Васильович,"Житомирська обл., Житомирський р-н, с. Тетерівка, вул. Піонерська, буд. 46",,"+;1220; розм.МПА в газеті Субота в зг.рах.№9 від 05.07.19, дог.№1 від 05.07.19. Без ПДВ",8750,ФОП,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1211,2019-07-11,505,"Обласна асоціація ""Вінницька громадська телерадіокомпанія ""Вінниччина""","м. Вінниця, вул. Театральна, буд. 15",31473359,"+;1211; за надання ефірн.часу  зг.рах.№ СФ-0000183 від 10.07 .19, дод.№5 від 10.07.19  до дог.№10/19 від 27.06.19   в т. ч. ПДВ 20% 855.00 грн.",5130,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1211,2019-07-11,504,"Обласна асоціація ""Вінницька громадська телерадіокомпанія ""Вінниччина""","м. Вінниця, вул. Театральна, буд. 15",31473359,"+;1211; за надання ефірн.часу  зг.рах.№СФ-0000182 від 10.07.19,дод.№4 від 10.07.19 до дог.№10/19 від 27.06.19   в т. ч. ПДВ 20% 570.00 грн.",3420,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1211,2019-07-11,506,"Обласна асоціація ""Вінницька громадська телерадіокомпанія ""Вінниччина""","м. Вінниця, вул. Театральна, буд. 15",31473359,"+;1211; за надання ефірн.часу  зг.рах.№СФ-0000184 від 10.07.19,дод.№6 від 10.07.19 до дог.№10/19 від 27.06.19   в т. ч. ПДВ 20% 424.65 грн.","2547,9",юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1400,2019-07-11,507,Горбань Богдан Юрійович,"м. Київ, вул. МИХАЙЛА КОТЕЛЬНИКОВА, буд. 31, кв. 9",,"+;1400; за розповс.МПА в мережі Інтернет зг.рах.№1 від 05.07.19, дод.№1 від 27.06.19 до дог.№01/01 від 27.06.19 Без ПДВ",2100000,ФОП,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Європейська Солідарність,221,1220,2019-07-11,508,"ТОВ ""Видавнича група ""Ракурс""","м. Рівне, вул. Вʼячеслава Чорновола, буд. 14, оф. 16",36922025,+;1220; за розм.МПА в газеті Рівне-Ракурс зг.рах.№СФ-0000076 від 10.07.19 до дог.№02-17-Г від 02.07.19 Без ПДВ,3450,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1211,2019-07-11,509,"ДОЧІРНЄ ПІДПРИЄМСТВО ""ТЕЛЕРАДІОКОМПАНІЯ ""СТЕРХ"" ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРИРОДНІ ІНВЕСТИЦІЇ""","Дніпропетровська обл., м. Дніпро, Жовтневий р-н, вул. Писаржевського, буд. 1А",24434223,+;1211; за надання ефірн.часу  зг.рах.№СФ-07/41 від 11.07.19 до дог.№190715-v dog від 10.07.19   в т. ч. ПДВ 20% 3000.60 грн.,"18003,6",юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1220,2019-07-11,510,"ПП ""РЕДАКЦІЯ ЧАСОПИСУ ""ВПЕРЕД""""","Івано-Франківська обл., м. Івано-Франківськ, вул. Короля Данила, буд. 11",02472988,"+;1220; розм.МПА в газеті г.рах.№236 від 09.07.19, дод.№1 від 09.07.19 до дог.№05/07 від 05.07.19 Без ПДВ",2100,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1220,2019-07-11,511,Гузинець-Мудрик Оксана Іванівна,"Івано-Франківська обл., м. Калуш, вул. ФІЛАТОВА, буд. 3, кв. 1",,"+;1220; розм.МПА в газеті Вікна рах.№104 від 09.07.19, дод.№1 від 09.07.19 до дог.№09-07 від 09.07.19 Без ПДВ",2100,ФОП,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1220,2019-07-11,512,"ПП ""МЕДІАЦЕНТР ""НАРОДНА ВОЛЯ""","Івано-Франківська обл., Надвірнянський р-н, м. Надвірна, вул. Визволення, буд. 5",20536234,"+;1220; розм.МПА в газеті г.рах.№221 від 08.07.19, дод.№1 від 08.07.19 до дог.№55 від 08.07.19 Без ПДВ",3600,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1220,2019-07-11,513,"ТОВ ""РЕДАКЦІЙНО-ВИДАВНИЧИЙ КОМПЛЕКС ""ЗЛАГОДА""","Івано-Франківська обл., Тлумацький р-н, м. Тлумач, вул. Кармелюка, буд. 10",02472950,"+;1220; розм.МПА в газеті г.рах.№183 від 10.07.19, дод.№1 від 10.07.19 до дог.№9 від 09.07.19 Без ПДВ",2700,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1110,2019-07-12,497,Погребний Олег Анатолійович,"Київська обл., Згурівський р-н, смт Згурівка, вул. КООПЕРАТИВНА, буд. 5",,"+;1110; за виготовл.друк.мат.передв.агіт. зг.рах.№220 від 05.07.19, дод.№1 до дог.№0012 від 05.07.19  Без ПДВ",1360,ФОП,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Європейська Солідарність,221,1220,2019-07-12,514,"ТОВ ""Медіацентр ""Свіча""","Івано-Франківська обл., Долинський р-н, м. Долина, майдан Січових Стрільців, буд. 3",20545641,"+;1220; розм.МПА в газеті г.рах.№174 від 09.07.19, дод.№1 від 09.07.19 до дог.№15 ПА/09072019 від 09.07.19 Без ПДВ",2400,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1220,2019-07-12,515,"ТОВ ""Газета ""МИГ""","Запорізька обл., м. Запоріжжя, Олександрівський р-н, просп. Соборний, буд. 152",14298776,"+;1220; розм.МПА в газеті г.рах.№266 від 09.07.19, дод.№2 від 09.07.19 до дог.№20  від 27.06.19 в т. ч. ПДВ 20% 3000.00 грн.",18000,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Європейська Солідарність,221,1211,2019-07-12,516,"ТОВ ""Телеканал ""Прямий""","м. Київ, вул. Мечнікова, буд. 2А",04948693,"+;1211; за розм.мат.передв.агіт. на ТК  зг.рах.№407 від 02.07.19,дод.№3 до дог.№68-П/BSA2 від 25.06.19 в т. ч. ПДВ 20% 133333.33 грн.",800000,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1211,2019-07-12,517,"ТОВ ""Телерадіокомпанія ""Студія 1+1""","м. Київ, вул. Кирилівська, буд. 23",23729809,+;1211; за розповс.політ.агіт. на ТБ на період за липень 2019 зг.рах.№556 від 26.06.19 до дог.№ВР-10 від 25.06.19 в т. ч. ПДВ 20% 500000.00 грн.,3000000,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1211,2019-07-12,518,"ТОВ ""Телерадіокомпанія ""Україна""","Донецька обл., м. Маріуполь, вул. Харлампіївська, буд. 17/25",05744121,"+;1211; за розм. в еф.ТК""Україна""матер.передвиб.агіт.зг.рах№567 від 02.07.19,Угода№ТРК-085027/2019 від 26.06.19  в т. ч. ПДВ 20% 500000.00 грн.",3000000,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1211,2019-07-12,520,"ТОВ ""Телеканал ""СТБ""","м. Київ, вул. Івана Шевцова, буд. 1",20044726,"+;1211; за ефірн.час на ТБ зг.рах.№443 від 04.07.19,дод.№3 від 04.07.19 до дог.№5-СТБ-ВРУ2019 від 25.06.19 в т. ч. ПДВ 20% 166666.67 грн.",1000000,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1211,2019-07-12,519,"ТОВ ""Міжнародна комерційна телерадіокомпанія"" (ICTV)","м. Київ, вул. Паньківська, буд. 11",14323764,"+;1211; за еф.час на ТБ  зг.рах.№230 від 05.07.19, дод.3 від 04.07.19 до дог.№5-ICTV-ВРУ2019 від 25.06.19 в т. ч. ПДВ 20% 183333.33 грн.",1100000,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1211,2019-07-12,521,"ТОВ ""Новий канал""","м. Київ, вул. Тургенєвська, буд. 25",23530545,"+;1211; за еф.час на ТБ зг.рах.№СФ-00000195 від 05.07.19, дод.3 від 04.07.19 до дог.№3-НК-ВРУ2019 від 25.06.19  в т. ч. ПДВ 20% 83333.33 грн.",500000,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1211,2019-07-12,522,"ТОВ ""Телерадіокомпанія ""Експрес-інформ""","м. Київ, вул. ПАВЛА УСЕНКА, буд. 8",30184432,+;1211; за розм.політ. рекл. на ТК 5 к  зг.рах.№96 від 01.07.19 до дог.№302-КД від 25.06.19 в т.ч. ПДВ 20% 50000.00 грн.,300000,юридична особа,оплата ефірного часу на телебаченні
